KeyBase,Jenis RM,Jenis Analisa,Parameter,Std_mentah_2026,Kriteria,Nilai_std,Satuan,Std_tipe,Std_min,Std_max,m_num,M_num,Catatan
bs-bsrp|cemaran logam|as,BS-BSRP,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
bs-bsrp|cemaran logam|cd,BS-BSRP,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
bs-bsrp|cemaran logam|hg,BS-BSRP,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
bs-bsrp|cemaran logam|pb,BS-BSRP,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
bs-bsrp|cemaran logam|sn,BS-BSRP,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
bs-bsrp|mikrobiologi|alt,BS-BSRP,Mikrobiologi,ALT,"m = 1,0 x 104 kol/g,",m =,1.0 x 10^4,kol/g,m,,,10000,,
bs-bsrp|mikrobiologi|bacillus cereus,BS-BSRP,Mikrobiologi,Bacillus cereus,"m = 104 kol/g,",m =,104,kol/g,m,,,10000,,
bs-bsrp|mikrobiologi|clostridium perfringens,BS-BSRP,Mikrobiologi,Clostridium perfringens,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
bs-bsrp|mikrobiologi|e coli,BS-BSRP,Mikrobiologi,E Coli,"m = negatif/ g,",,,"m = negatif/ g,",Kualitatif,,,,,
bs-bsrp|mikrobiologi|enterobacteriaceae,BS-BSRP,Mikrobiologi,Enterobacteriaceae,"m = 1,0 x 102 kol/g,",m =,1.0 x 10^2,kol/g,m,,,100,,
bs-bsrp|mikrobiologi|kapang & khamir,BS-BSRP,Mikrobiologi,Kapang & Khamir,"m = 1,0 x 102 kol/g,",m =,1.0 x 10^2,kol/g,m,,,100,,
bs-bsrp|mikrobiologi|salmonella,BS-BSRP,Mikrobiologi,Salmonella,"m = negatif/ 25 g,",m = negatif/,25,g,m,,,25,,
bs-ihkr|cemaran logam|as,BS-IHKR,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
bs-ihkr|cemaran logam|cd,BS-IHKR,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
bs-ihkr|cemaran logam|hg,BS-IHKR,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
bs-ihkr|cemaran logam|pb,BS-IHKR,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
bs-ihkr|cemaran logam|sn,BS-IHKR,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
bs-ihkr|mikrobiologi|alt,BS-IHKR,Mikrobiologi,ALT,m = 3.0 x 105 kol/g,m =,3.0 x 10^5,kol/g,m,,,300000,,
bs-ihkr|mikrobiologi|bacillus cereus,BS-IHKR,Mikrobiologi,Bacillus cereus,m = 1.0 x 104 kol/g,m =,1.0 x 10^4,kol/g,m,,,10000,,
bs-ihkr|mikrobiologi|clostridium perfringens,BS-IHKR,Mikrobiologi,Clostridium perfringens,m = 1.0 x 103 kol/g,m =,1.0 x 10^3,kol/g,m,,,1000,,
bs-ihkr|mikrobiologi|e. coli,BS-IHKR,Mikrobiologi,E. coli,m = negatif/ g,,,m = negatif/ g,Kualitatif,,,,,
bs-ihkr|mikrobiologi|enterobacteriaceae,BS-IHKR,Mikrobiologi,Enterobacteriaceae,m = 2.0 x 103 kol/g,m =,2.0 x 10^3,kol/g,m,,,2000,,
bs-ihkr|mikrobiologi|kapang & khamir,BS-IHKR,Mikrobiologi,Kapang & Khamir,m = 4.0 x 103 kol/g,m =,4.0 x 10^3,kol/g,m,,,4000,,
bs-ihkr|mikrobiologi|salmonella,BS-IHKR,Mikrobiologi,Salmonella,m = negatif/ 25 g,m = negatif/,25,g,m,,,25,,
bsag|cemaran logam|as,BSAG,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
bsag|cemaran logam|cd,BSAG,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
bsag|cemaran logam|hg,BSAG,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
bsag|cemaran logam|pb,BSAG,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
bsag|cemaran logam|sn,BSAG,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
bsag|mikrobiologi|alt,BSAG,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
bsag|mikrobiologi|bacillus cereus,BSAG,Mikrobiologi,Bacillus cereus,m = 104 kol/g,m =,104,kol/g,m,,,10000,,
